[object Object]93.708/n10.053
10.575
12.535
10.136
15.771
13.984
1560321353537 - 11.362
23:49:35 - 10.647ms
23:49:36 - 10.369ms
23:49:37 - 10.633ms
23:49:38 - 9.863ms
23:49:39 - 10.728ms
23:49:40 - 9.467ms
23:49:41 - 10.409ms
23:49:42 - 10.474ms
23:49:43 - 9.029ms
23:49:44 - 15.992ms
23:49:45 - 9.583ms
23:49:46 - 14.58ms
23:49:47 - 20.927ms
23:49:48 - 10.036ms
23:49:49 - 17.036ms
23:49:50 - 15.71ms
23:49:51 - 11.284ms
23:49:52 - 28.254ms
23:49:53 - 13.316ms
23:49:54 - 58.821ms
23:49:57 - unknownms
23:49:58 - unknownms
23:49:59 - unknownms
23:50:01 - unknownms
23:50:02 - unknownms
23:50:03 - unknownms
23:50:04 - unknownms
23:50:05 - unknownms
23:50:06 - unknownms
23:50:07 - unknownms
23:50:08 - unknownms
23:50:09 - unknownms
23:50:10 - unknownms
23:50:11 - unknownms
23:50:12 - unknownms
23:50:13 - unknownms
23:50:14 - unknownms
23:50:15 - unknownms
23:50:16 - unknownms
23:50:17 - unknownms
23:50:18 - unknownms
23:50:19 - unknownms
23:50:20 - unknownms
23:50:21 - unknownms
23:50:22 - unknownms
23:50:23 - unknownms
23:50:24 - unknownms
23:50:25 - unknownms
23:50:26 - unknownms
23:50:27 - unknownms
23:50:28 - unknownms
23:50:29 - unknownms
23:50:30 - unknownms
23:50:31 - unknownms
23:50:32 - unknownms
23:50:33 - unknownms
23:50:34 - unknownms
23:50:35 - unknownms
23:50:36 - unknownms
23:50:37 - unknownms
23:50:38 - unknownms
23:50:39 - unknownms
23:50:40 - unknownms
23:50:41 - unknownms
23:50:42 - unknownms
23:50:43 - unknownms
23:50:44 - unknownms
23:50:45 - unknownms
23:50:46 - unknownms
23:50:47 - unknownms
23:50:48 - unknownms
23:50:49 - unknownms
23:50:50 - unknownms
23:50:51 - unknownms
23:50:52 - unknownms
23:50:53 - unknownms
23:50:54 - unknownms
23:50:55 - unknownms
23:50:56 - unknownms
23:50:57 - unknownms
23:50:58 - unknownms
23:50:59 - unknownms
23:51:00 - unknownms
23:51:01 - unknownms
23:51:02 - unknownms
23:51:03 - unknownms
23:51:04 - unknownms
23:51:05 - unknownms
23:51:06 - unknownms
23:51:07 - unknownms
23:51:08 - unknownms
23:51:09 - unknownms
23:51:10 - unknownms
23:51:11 - unknownms
23:51:12 - unknownms
23:51:13 - unknownms
23:51:14 - unknownms
23:51:15 - unknownms
23:51:16 - unknownms
23:51:17 - unknownms
23:51:18 - unknownms
23:51:19 - unknownms
23:51:20 - unknownms
23:51:21 - unknownms
23:51:22 - unknownms
23:51:23 - unknownms
23:51:24 - unknownms
23:51:25 - unknownms
23:51:26 - unknownms
23:51:27 - unknownms
23:51:28 - unknownms
23:51:29 - unknownms
23:51:30 - unknownms
23:51:31 - unknownms
